Date,Amount Spent ($),BTC Purchased (BTC),Bitcoin Price ($),Total Amount Invested ($),Total BTC Purchased (BTC),DCA ($ per BTC)
03-05-2025,90,0.000947,95000,90.000000,0.000947,95000.000000
03-07-2025,100,0.001153,86696,190.000000,0.002100,90456.559101
